method,k,num_ingredients,num_recipes,duration,dataset_md5,pantry_md5,filter_pantry,filter_garnish,make_substitutes
MRD,2,8,1,0.068939208984375,22755d5eb5759dc1c7c6a7ad69efc089,f013b8f6b12542cc2d4b6d99fc19d368,True,True,True
MRD,3,8,1,0.06693363189697266,22755d5eb5759dc1c7c6a7ad69efc089,f013b8f6b12542cc2d4b6d99fc19d368,True,True,True
MRD,4,8,1,0.07425069808959961,22755d5eb5759dc1c7c6a7ad69efc089,f013b8f6b12542cc2d4b6d99fc19d368,True,True,True
MRD,5,8,1,0.0676264762878418,22755d5eb5759dc1c7c6a7ad69efc089,f013b8f6b12542cc2d4b6d99fc19d368,True,True,True
MRD,6,8,1,0.06685185432434082,22755d5eb5759dc1c7c6a7ad69efc089,f013b8f6b12542cc2d4b6d99fc19d368,True,True,True
MRD,7,8,1,0.06725049018859863,22755d5eb5759dc1c7c6a7ad69efc089,f013b8f6b12542cc2d4b6d99fc19d368,True,True,True
MRD,8,10,3,0.0670473575592041,22755d5eb5759dc1c7c6a7ad69efc089,f013b8f6b12542cc2d4b6d99fc19d368,True,True,True
MRD,9,10,3,0.06697440147399902,22755d5eb5759dc1c7c6a7ad69efc089,f013b8f6b12542cc2d4b6d99fc19d368,True,True,True
MRD,10,11,4,0.06611442565917969,22755d5eb5759dc1c7c6a7ad69efc089,f013b8f6b12542cc2d4b6d99fc19d368,True,True,True
MRD,11,13,6,0.067626953125,22755d5eb5759dc1c7c6a7ad69efc089,f013b8f6b12542cc2d4b6d99fc19d368,True,True,True
MRD,12,13,6,0.06636667251586914,22755d5eb5759dc1c7c6a7ad69efc089,f013b8f6b12542cc2d4b6d99fc19d368,True,True,True
MRD,13,15,7,0.06752872467041016,22755d5eb5759dc1c7c6a7ad69efc089,f013b8f6b12542cc2d4b6d99fc19d368,True,True,True
MRD,14,15,7,0.0673062801361084,22755d5eb5759dc1c7c6a7ad69efc089,f013b8f6b12542cc2d4b6d99fc19d368,True,True,True
MRD,15,16,11,0.06851911544799805,22755d5eb5759dc1c7c6a7ad69efc089,f013b8f6b12542cc2d4b6d99fc19d368,True,True,True
MRD,16,17,12,0.06859922409057617,22755d5eb5759dc1c7c6a7ad69efc089,f013b8f6b12542cc2d4b6d99fc19d368,True,True,True
MRD,17,18,13,0.0669853687286377,22755d5eb5759dc1c7c6a7ad69efc089,f013b8f6b12542cc2d4b6d99fc19d368,True,True,True
MRD,18,21,17,0.06701922416687012,22755d5eb5759dc1c7c6a7ad69efc089,f013b8f6b12542cc2d4b6d99fc19d368,True,True,True
MRD,19,21,17,0.0658423900604248,22755d5eb5759dc1c7c6a7ad69efc089,f013b8f6b12542cc2d4b6d99fc19d368,True,True,True
MRD,20,21,17,0.06756901741027832,22755d5eb5759dc1c7c6a7ad69efc089,f013b8f6b12542cc2d4b6d99fc19d368,True,True,True
MRD,21,22,18,0.15783023834228516,22755d5eb5759dc1c7c6a7ad69efc089,f013b8f6b12542cc2d4b6d99fc19d368,True,True,True
MRD,22,23,19,0.06700992584228516,22755d5eb5759dc1c7c6a7ad69efc089,f013b8f6b12542cc2d4b6d99fc19d368,True,True,True
MRD,23,25,21,0.06744217872619629,22755d5eb5759dc1c7c6a7ad69efc089,f013b8f6b12542cc2d4b6d99fc19d368,True,True,True
MRD,24,25,21,0.06880617141723633,22755d5eb5759dc1c7c6a7ad69efc089,f013b8f6b12542cc2d4b6d99fc19d368,True,True,True
MID,1,1,0,0.06998896598815918,22755d5eb5759dc1c7c6a7ad69efc089,f013b8f6b12542cc2d4b6d99fc19d368,True,True,True
MID,2,2,0,0.07111978530883789,22755d5eb5759dc1c7c6a7ad69efc089,f013b8f6b12542cc2d4b6d99fc19d368,True,True,True
MID,3,3,0,0.09665393829345703,22755d5eb5759dc1c7c6a7ad69efc089,f013b8f6b12542cc2d4b6d99fc19d368,True,True,True
MID,4,4,0,0.06997036933898926,22755d5eb5759dc1c7c6a7ad69efc089,f013b8f6b12542cc2d4b6d99fc19d368,True,True,True
MID,5,5,1,0.06894350051879883,22755d5eb5759dc1c7c6a7ad69efc089,f013b8f6b12542cc2d4b6d99fc19d368,True,True,True
MID,6,6,1,0.06851434707641602,22755d5eb5759dc1c7c6a7ad69efc089,f013b8f6b12542cc2d4b6d99fc19d368,True,True,True
MID,7,7,3,0.06811094284057617,22755d5eb5759dc1c7c6a7ad69efc089,f013b8f6b12542cc2d4b6d99fc19d368,True,True,True
MID,8,8,3,0.07033991813659668,22755d5eb5759dc1c7c6a7ad69efc089,f013b8f6b12542cc2d4b6d99fc19d368,True,True,True
MID,9,9,3,0.06951570510864258,22755d5eb5759dc1c7c6a7ad69efc089,f013b8f6b12542cc2d4b6d99fc19d368,True,True,True
MID,10,10,4,0.0691976547241211,22755d5eb5759dc1c7c6a7ad69efc089,f013b8f6b12542cc2d4b6d99fc19d368,True,True,True
MID,11,11,5,0.07026147842407227,22755d5eb5759dc1c7c6a7ad69efc089,f013b8f6b12542cc2d4b6d99fc19d368,True,True,True
MID,12,12,7,0.0702965259552002,22755d5eb5759dc1c7c6a7ad69efc089,f013b8f6b12542cc2d4b6d99fc19d368,True,True,True
MID,13,13,9,0.06923985481262207,22755d5eb5759dc1c7c6a7ad69efc089,f013b8f6b12542cc2d4b6d99fc19d368,True,True,True
MID,14,14,9,0.06894540786743164,22755d5eb5759dc1c7c6a7ad69efc089,f013b8f6b12542cc2d4b6d99fc19d368,True,True,True
MID,15,15,10,0.06993651390075684,22755d5eb5759dc1c7c6a7ad69efc089,f013b8f6b12542cc2d4b6d99fc19d368,True,True,True
MID,16,16,11,0.0698697566986084,22755d5eb5759dc1c7c6a7ad69efc089,f013b8f6b12542cc2d4b6d99fc19d368,True,True,True
MID,17,17,12,0.0710146427154541,22755d5eb5759dc1c7c6a7ad69efc089,f013b8f6b12542cc2d4b6d99fc19d368,True,True,True
MID,18,18,12,0.06941008567810059,22755d5eb5759dc1c7c6a7ad69efc089,f013b8f6b12542cc2d4b6d99fc19d368,True,True,True
MID,19,19,13,0.06735539436340332,22755d5eb5759dc1c7c6a7ad69efc089,f013b8f6b12542cc2d4b6d99fc19d368,True,True,True
MID,20,20,15,0.06995415687561035,22755d5eb5759dc1c7c6a7ad69efc089,f013b8f6b12542cc2d4b6d99fc19d368,True,True,True
MID,21,21,15,0.06880545616149902,22755d5eb5759dc1c7c6a7ad69efc089,f013b8f6b12542cc2d4b6d99fc19d368,True,True,True
MID,22,22,16,0.06893062591552734,22755d5eb5759dc1c7c6a7ad69efc089,f013b8f6b12542cc2d4b6d99fc19d368,True,True,True
MID,23,23,18,0.06937074661254883,22755d5eb5759dc1c7c6a7ad69efc089,f013b8f6b12542cc2d4b6d99fc19d368,True,True,True
MID,24,24,18,0.0696260929107666,22755d5eb5759dc1c7c6a7ad69efc089,f013b8f6b12542cc2d4b6d99fc19d368,True,True,True
MID,25,25,20,0.07013607025146484,22755d5eb5759dc1c7c6a7ad69efc089,f013b8f6b12542cc2d4b6d99fc19d368,True,True,True
greedy,1,1,1,0.07037973403930664,22755d5eb5759dc1c7c6a7ad69efc089,f013b8f6b12542cc2d4b6d99fc19d368,True,True,True
greedy,2,2,2,0.07154536247253418,22755d5eb5759dc1c7c6a7ad69efc089,f013b8f6b12542cc2d4b6d99fc19d368,True,True,True
greedy,3,3,3,0.07107663154602051,22755d5eb5759dc1c7c6a7ad69efc089,f013b8f6b12542cc2d4b6d99fc19d368,True,True,True
greedy,4,4,4,0.07366037368774414,22755d5eb5759dc1c7c6a7ad69efc089,f013b8f6b12542cc2d4b6d99fc19d368,True,True,True
greedy,5,5,5,0.06909847259521484,22755d5eb5759dc1c7c6a7ad69efc089,f013b8f6b12542cc2d4b6d99fc19d368,True,True,True
greedy,6,6,6,0.06913208961486816,22755d5eb5759dc1c7c6a7ad69efc089,f013b8f6b12542cc2d4b6d99fc19d368,True,True,True
greedy,7,7,8,0.0705256462097168,22755d5eb5759dc1c7c6a7ad69efc089,f013b8f6b12542cc2d4b6d99fc19d368,True,True,True
greedy,8,7,8,0.07067060470581055,22755d5eb5759dc1c7c6a7ad69efc089,f013b8f6b12542cc2d4b6d99fc19d368,True,True,True
greedy,9,8,9,0.06971502304077148,22755d5eb5759dc1c7c6a7ad69efc089,f013b8f6b12542cc2d4b6d99fc19d368,True,True,True
greedy,10,9,10,0.06841802597045898,22755d5eb5759dc1c7c6a7ad69efc089,f013b8f6b12542cc2d4b6d99fc19d368,True,True,True
greedy,11,10,11,0.0732736587524414,22755d5eb5759dc1c7c6a7ad69efc089,f013b8f6b12542cc2d4b6d99fc19d368,True,True,True
greedy,12,11,12,0.06898045539855957,22755d5eb5759dc1c7c6a7ad69efc089,f013b8f6b12542cc2d4b6d99fc19d368,True,True,True
greedy,13,13,13,0.0702667236328125,22755d5eb5759dc1c7c6a7ad69efc089,f013b8f6b12542cc2d4b6d99fc19d368,True,True,True
greedy,14,14,14,0.06920552253723145,22755d5eb5759dc1c7c6a7ad69efc089,f013b8f6b12542cc2d4b6d99fc19d368,True,True,True
greedy,15,15,15,0.07367277145385742,22755d5eb5759dc1c7c6a7ad69efc089,f013b8f6b12542cc2d4b6d99fc19d368,True,True,True
greedy,16,16,16,0.06956624984741211,22755d5eb5759dc1c7c6a7ad69efc089,f013b8f6b12542cc2d4b6d99fc19d368,True,True,True
greedy,17,17,17,0.07375741004943848,22755d5eb5759dc1c7c6a7ad69efc089,f013b8f6b12542cc2d4b6d99fc19d368,True,True,True
greedy,18,19,18,0.06990671157836914,22755d5eb5759dc1c7c6a7ad69efc089,f013b8f6b12542cc2d4b6d99fc19d368,True,True,True
greedy,19,20,19,0.07089614868164062,22755d5eb5759dc1c7c6a7ad69efc089,f013b8f6b12542cc2d4b6d99fc19d368,True,True,True
greedy,20,21,20,0.06988835334777832,22755d5eb5759dc1c7c6a7ad69efc089,f013b8f6b12542cc2d4b6d99fc19d368,True,True,True
greedy,21,22,21,0.06826496124267578,22755d5eb5759dc1c7c6a7ad69efc089,f013b8f6b12542cc2d4b6d99fc19d368,True,True,True
greedy,22,23,22,0.0674283504486084,22755d5eb5759dc1c7c6a7ad69efc089,f013b8f6b12542cc2d4b6d99fc19d368,True,True,True
greedy,23,24,23,0.0701756477355957,22755d5eb5759dc1c7c6a7ad69efc089,f013b8f6b12542cc2d4b6d99fc19d368,True,True,True
